original_city,original_ address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,state,country,country_code,confidence_street_level,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Beograd," Lazarevac opština; Stepojevac",44.782449,20.46444,"Belgrade, Grad Beograd, Serbia",,,,,,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0.475,0.95,,,https://www.whosonfirst.org/docs/licenses/
Beograd," Lazarevac opština; Veliki Crljeni; Radnicka 27",44.38534,20.2557,"Lazarevac, Grad Beograd, Serbia",,,,,,Lazarevac,Lazarevac,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,,https://www.whosonfirst.org/docs/licenses/
Beograd," Lazarevac opština; Vrbovno Lazarevac; Magistralna",44.38497,20.25956,"Opština Beograd-Lazarevac, Grad Beograd, Serbia",,,,,,Lazarevac,Opština Beograd-Lazarevac,Grad Beograd,Central Serbia,Serbia,rs,,0.62,0.5103,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Mladenovac opština; Mladenovac centar; Karađorđeva 179a",44.73861,20.44376,"Opština Beograd-Rakovica, Grad Beograd, Serbia",,,,,,Savski Venac,Opština Beograd-Rakovica,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Mladenovac opština; Pružatovac; Gornjokrajska 25",44.782449,20.46444,"Belgrade, Grad Beograd, Serbia",,,,,,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,,https://www.whosonfirst.org/docs/licenses/
Beograd," Novi Beograd; Ledine",44.808703,20.375921,"Novi Beograd, Central Serbia, Serbia",,,,,,,Novi Beograd,Grad Beograd,Central Serbia,Serbia,rs,,0.475,0.95,,,https://www.whosonfirst.org/docs/licenses/
Beograd," Obrenovac opština; Grabovac; Doljanska",44.73861,20.44376,"Opština Beograd-Rakovica, Grad Beograd, Serbia",,,,,,Savski Venac,Opština Beograd-Rakovica,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Obrenovac opština; Obrenovac",44.782449,20.46444,"Belgrade, Grad Beograd, Serbia",,,,,,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0.475,0.95,,,https://www.whosonfirst.org/docs/licenses/
Beograd," Obrenovac opština; Ratari",44.782449,20.46444,"Belgrade, Grad Beograd, Serbia",,,,,,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0.475,0.95,,,https://www.whosonfirst.org/docs/licenses/
Beograd," Palilula opština; Ovča",44.815611,20.519664,"Palilula, Savski Venac, Belgrade, Central Serbia, Serbia",Palilula,,,,,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0.19237499999999996,0.95,,,https://www.whosonfirst.org/docs/licenses/
Beograd," Sopot opština; Babe",44.52264,20.57602,"Opština Beograd-Sopot, Grad Beograd, Serbia",,,,,,Sopot,Opština Beograd-Sopot,Grad Beograd,Central Serbia,Serbia,rs,,0.475,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Sopot opština; Popović",44.52264,20.57602,"Opština Beograd-Sopot, Grad Beograd, Serbia",,,,,,Sopot,Opština Beograd-Sopot,Grad Beograd,Central Serbia,Serbia,rs,,0.475,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Surčin opština; Surčin; Zeleznicka 3",44.73861,20.44376,"Opština Beograd-Rakovica, Grad Beograd, Serbia",,,,,,Savski Venac,Opština Beograd-Rakovica,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Voždovac opština; Ripanj; Srednji Prnjavor 25b",44.73861,20.44376,"Opština Beograd-Rakovica, Grad Beograd, Serbia",,,,,,Savski Venac,Opština Beograd-Rakovica,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Voždovac opština; Voždovačka crkva",,,,,,,,,,,,,,,,,,,,
Beograd," Zemun opština; Zemun; Gornji Grad",44.83995,20.28611,"Poljoprivredni Kombinat Zemun, Zemun, Grad Beograd, Serbia",Poljoprivredni Kombinat Zemun,,,,,,Zemun,Grad Beograd,Central Serbia,Serbia,rs,,0.5241379310344827,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beograd," Čukarica opština; Sremčica; jeliciceva 34",44.73861,20.44376,"Opština Beograd-Rakovica, Grad Beograd, Serbia",,,,,,Savski Venac,Opština Beograd-Rakovica,Grad Beograd,Central Serbia,Serbia,rs,,0.2375,0.95,,CC BY 4.0,https://www.geonames.org/datasources/
Beočin," Rakovac; Cukovac 12",45.186271,19.773674,"Beočin, South Backa, Serbia",,,,,,Beocin,Beočin,South Backa,Vojvodina,Serbia,rs,,0,1,,,https://www.whosonfirst.org/docs/licenses/
Beočin," Čerević; Atanasija Gereckog 38",45.214942,19.678695,"Čerević III - Ulaz, Beocin, South Backa, Serbia",Čerević III - Ulaz,,,,,,Beocin,South Backa,Vojvodina,Serbia,rs,,0.95,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Beočin," Čerević; Kralja Petra I 105",45.219719,19.664032,"Čerević V - Spomenik, Beocin, South Backa, Serbia",Čerević V - Spomenik,,,,,,Beocin,South Backa,Vojvodina,Serbia,rs,,0.95,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Beočin," Čerević; V. Misica",45.219852,19.667452,"Vojvode Zivojina Misica, Beocin, Serbia",,,Vojvode Zivojina Misica,,,,Beocin,South Backa,Vojvodina,Serbia,rs,0.95,0.5343749999999999,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bečej," ",,,,,,,,,,,,,,,,,,,,
Bečej," Bačko Gradište; školska",45.533179,20.032738,"Skolska, Becej, Serbia",,,Skolska,,,,Becej,South Backa,Vojvodina,Serbia,rs,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bečej," Bolmanska 35",45.625869,20.046401,"Bolmanska, 21220 Becej, Serbia",,,Bolmanska,,21220,,Becej,South Backa,Vojvodina,Serbia,rs,1,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bečej," Hove Friđeša 58",45.61897,20.0246292,"Hove Fridjesa, 21220 Becej Municipality, Serbia",Hove Fridjesa,,Hove Fridjesa,,21220,Бечеј,Becej Municipality,South Backa Administrative District,Vojvodina,Serbia,rs,0.78375,0.391875,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Blace," ",,,,,,,,,,,,,,,,,,,,
Bogatić," Badovinci",44.7856845,19.3715124,"Badovinci, 15358 Bogatic Municipality, Serbia",Badovinci,,,,15358,,Bogatic Municipality,Macva Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bogatić," Badovinci; Kralja Aleksandra",44.813645,19.427718,"Kralja Aleksandra, Bogatic, Serbia",,,Kralja Aleksandra,,,,Bogatic,Macva,Central Serbia,Serbia,rs,1,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bogatić," Belotić; Kralja Aleksandra 48",44.813645,19.427718,"Kralja Aleksandra, Bogatic, Serbia",,,Kralja Aleksandra,,,,Bogatic,Macva,Central Serbia,Serbia,rs,1,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bogatić," Crna Bara",44.8734604,19.3960902,"Crna Bara, Bogatic Municipality, Macva Administrative District, Serbia",Crna Bara,,,,,,Bogatic Municipality,Macva Administrative District,Central Serbia,Serbia,rs,0.95,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bogatić," Glušci",44.89021,19.54912,"Glušci, Macva, Serbia",,,,,,Bogatic,Glušci,Macva,Central Serbia,Serbia,rs,,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
Bogatić," Glušci; Svetomira Alimpića 18",44.8375,19.48056,"Bogatić, Macva, Serbia",,,,,,Bogatic,Bogatić,Macva,Central Serbia,Serbia,rs,,0,1,,,https://www.whosonfirst.org/docs/licenses/
Bogatić," Nebojše Jerković",44.766379,20.500228,"Brace Jerkovic, Belgrade, Serbia",,,Brace Jerkovic,,,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bujanovac," Kilnovac",,,,,,,,,,,,,,,,,,,,
Despotovac," Jasenovo",44.1524793,21.3064822,"Jasenovo, 35211 Despotovac Municipality, Serbia",Jasenovo,,,,35211,,Despotovac Municipality,Pomoravlje Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Doljevac," Orljane",43.21851505,21.823327512857144,"Orljane, Doljevac Municipality, Central Serbia, Serbia",,,,,,Orljane,Doljevac Municipality,Nisava Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Doljevac," Šarlinac",43.1958689,21.7935705,"Шарлинац, 18410 Doljevac Municipality, Serbia",Шарлинац,,,,18410,,Doljevac Municipality,Nisava Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Golubac," Dobra; Partizanska 107",43.39578,21.33728,"Dobra Voda, Blace, Toplica, Serbia",Dobra Voda,,,,,,Blace,Toplica,Central Serbia,Serbia,rs,,0.95,,,CC BY 4.0,https://www.geonames.org/datasources/
Inđija," ",,,,,,,,,,,,,,,,,,,,
Inđija," Beška",45.13092,20.06698,"Beška, Sremski upravni okrug, Serbia",,,,,,Indjija,Beška,Sremski upravni okrug,Vojvodina,Serbia,rs,,0.3,0.6,,,https://www.whosonfirst.org/docs/licenses/
Inđija," Krčedin",45.13872,20.13308,"Krčedin, Sremski upravni okrug, Serbia",,,,,,Indjija,Krčedin,Sremski upravni okrug,Vojvodina,Serbia,rs,,0.3,0.6,,,https://www.whosonfirst.org/docs/licenses/
Inđija," Novi Slankamen",45.12554,20.23914,"Novi Slankamen, Sremski upravni okrug, Serbia",,,,,,Indjija,Novi Slankamen,Sremski upravni okrug,Vojvodina,Serbia,rs,,0.3,0.6,,,https://www.whosonfirst.org/docs/licenses/
Inđija," Novi Slankamen; Branka Radičevića 45",45.12554,20.23914,"Novi Slankamen, Sremski upravni okrug, Serbia",,,,,,Indjija,Novi Slankamen,Sremski upravni okrug,Vojvodina,Serbia,rs,,0.16071428571428573,0.6428571428571429,,,https://www.whosonfirst.org/docs/licenses/
Inđija," Čortanovci",45.160334,19.994428,"Čortanovci II - Br. 1879, Indjija, Sremski upravni okrug, Serbia",Čortanovci II - Br. 1879,,,,,,Indjija,Sremski upravni okrug,Vojvodina,Serbia,rs,0.57,0.57,0.6,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Irig," Banja Vrdnik",43.621868,20.894727,"Vrnjačka Banja, Raska, Serbia",,,,,,Vrnjacka Banja,Vrnjačka Banja,Raska,Central Serbia,Serbia,rs,,0,,,,https://www.whosonfirst.org/docs/licenses/
Irig," Jazak",45.1049393,19.7653301,"Jazak, 22408 Irig Municipality, Serbia",Jazak,,,,22408,,Irig Municipality,Srem Administrative District,Vojvodina,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jagodina," Bagrdan",44.067872,21.1770124,"Багрдан, Jagodina City, Central Serbia, Serbia",Багрдан,,,,,,Jagodina City,Pomoravlje Administrative District,Central Serbia,Serbia,rs,,0.45,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jagodina," Bunar; nn",43.9192851,21.1468781,"Бунар, Jagodina City, Pomoravlje Administrative District, Serbia",Бунар,,,,,,Jagodina City,Pomoravlje Administrative District,Central Serbia,Serbia,rs,0.95,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jagodina," Novo Lanište",44.0403555,21.2348023,"Ново Ланиште, Jagodina City, Pomoravlje Administrative District, Serbia",Ново Ланиште,,,,,,Jagodina City,Pomoravlje Administrative District,Central Serbia,Serbia,rs,0.95,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jagodina," Pivara; Dušana Popovića 7",43.976762,21.264375,"Jagodina, Pomoravski upravni okrug, Serbia",,,,,,Jagodina,Jagodina,Pomoravski upravni okrug,Central Serbia,Serbia,rs,,0.25,1,,,https://www.whosonfirst.org/docs/licenses/
Jagodina," Ribare",44.0087492,21.2852648,"Ribare, 35219 Jagodina City, Serbia",Ribare,,,,35219,,Jagodina City,Pomoravlje Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jagodina," Štipljanski put bb",43.976762,21.264375,"Jagodina, Pomoravski upravni okrug, Serbia",,,,,,Jagodina,Jagodina,Pomoravski upravni okrug,Central Serbia,Serbia,rs,,0.25,1,,,https://www.whosonfirst.org/docs/licenses/
Kikinda," ",,,,,,,,,,,,,,,,,,,,
Kikinda," Bašaid; 4.oktobra 25",,,,,,,,,,,,,,,,,,,,
Kikinda," Semlacka",45.8335785,20.470603,"Semlacka, Kikinda City, Serbia",Semlacka,,Semlacka,Центар,,Кикинда,Kikinda City,North Banat Administrative District,Vojvodina,Serbia,rs,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kikinda," Srbobranska 160",45.8202833,20.4371826,"Srbobranska, Kikinda City, Serbia",Srbobranska,,Srbobranska,АБЦ насеље,,Кикинда,Kikinda City,North Banat Administrative District,Vojvodina,Serbia,rs,1,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Knić," ",,,,,,,,,,,,,,,,,,,,
Knjaževac," Centar; Kaplarova 1",45.125089,19.223373,"Centar, Sid, Sremski upravni okrug, Serbia",Centar,,,,,,Sid,Sremski upravni okrug,Vojvodina,Serbia,rs,,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Knjaževac," Podvis; Podvis-gornja kolonija",,,,,,,,,,,,,,,,,,,,
Koceljeva," Šesta lička",45.289074,21.002751,"Licka, Plandiste, Serbia",,,Licka,,,,Plandiste,South Banat,Vojvodina,Serbia,rs,,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kovin," Bavanište",44.8172426,20.8755889,"Bavaniste, Kovin Municipality, South Banat Administrative District, Serbia",Bavaniste,,,,,,Kovin Municipality,South Banat Administrative District,Vojvodina,Serbia,rs,0.95,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kovin," Proleterska",44.7415248,20.9722915,"Пролетерска, 26220 Kovin Municipality, Serbia",Пролетерска,,Пролетерска,,26220,Ковин,Kovin Municipality,South Banat Administrative District,Vojvodina,Serbia,rs,0.5923076923076923,0.5923076923076923,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kovin," Proleterska 161",44.7415248,20.9722915,"Пролетерска, 26220 Kovin Municipality, Serbia",Пролетерска,,Пролетерска,,26220,Ковин,Kovin Municipality,South Banat Administrative District,Vojvodina,Serbia,rs,0.5923076923076923,0.29615384615384616,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Aerodrom",44.02914225,20.905208025328946,"Тржно Пословни Центар Аеродром, Denino brdo, City of Kragujevac, Sumadija Administrative District, Serbia",Тржно Пословни Центар Аеродром,,,Denino brdo,,Kragujevac,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,0.95,0.95,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Bagremar; Miladina Petrovica 6",45.651854,19.463829,"Bagremar, Kula, Zapadnobački upravni okrug, Serbia",Bagremar,,,,,,Kula,Zapadnobački upravni okrug,Vojvodina,Serbia,rs,,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Beloševac",43.98496,20.92801,"Belosevac, Sumadija, Serbia",,,,,,Kragujevac,Belosevac,Sumadija,Central Serbia,Serbia,rs,,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
Kragujevac," Beloševac; Belosevac",43.98496,20.92801,"Belosevac, Sumadija, Serbia",,,,,,Kragujevac,Belosevac,Sumadija,Central Serbia,Serbia,rs,,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
Kragujevac," Bresnica",43.87448,20.59005,"Bresnica, Morava, Serbia",,,,,,Cacak,Bresnica,Morava,Central Serbia,Serbia,rs,,0,,,,https://www.whosonfirst.org/docs/licenses/
Kragujevac," Centar; Mala Vaga",,,,,,,,,,,,,,,,,,,,
Kragujevac," Centar; Miloja Pavlovica 5-1",44.010548,20.915691,"A1 centar, Kragujevac, Sumadija, Serbia",A1 centar,,,,,,Kragujevac,Sumadija,Central Serbia,Serbia,rs,,0.95,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Centar; Ćiftina Ćuprija; Kosovska",,,,,,,,,,,,,,,,,,,,
Kragujevac," Erdeč",43.960205,20.90529426960193,"Erdec, City of Kragujevac, Central Serbia, Serbia",,,,,,Erdec,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Maršić",44.0234804,20.974617,"Маршић, City of Kragujevac, Sumadija Administrative District, Serbia",Маршић,,,,,,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,0.95,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Opornica",44.054784600000005,20.882300283086373,"Opornica, City of Kragujevac, Central Serbia, Serbia",,,,,,Opornica,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Palilule; Licika",,,,,,,,,,,,,,,,,,,,
Kragujevac," Pivara",44.735551,20.446451,"Salto Brewery, Патријарха Димитрија 24, 11090 Belgrade, Serbia",Salto Brewery,24,Патријарха Димитрија,,11090,Savski Venac,Belgrade,Grad Beograd,Central Serbia,Serbia,rs,,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Pivara; Centar preko Lepenice",,,,,,,,,,,,,,,,,,,,
Kragujevac," Poskurice",44.04634715,20.853908955627585,"Poskurice, City of Kragujevac, Central Serbia, Serbia",,,,,,Poskurice,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Stanovo",44.0058239,20.8666353,"Stanovo, City of Kragujevac, Central Serbia, Serbia",Stanovo,,,Stanovo,34113,Kragujevac,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Trmbas",43.9855586,20.9586954,"Трмбас, City of Kragujevac, Sumadija Administrative District, Serbia",Трмбас,,,,,,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,0.95,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Vašarište; Veliki Park",,,,,,,,,,,,,,,,,,,,
Kragujevac," Vinogradi",44.0308533,20.8905161,"Vinogradi, City of Kragujevac, Central Serbia, Serbia",Vinogradi,,,Vinogradi,34110,Kragujevac,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Đuriselo",43.9797413,20.7982199,"Djuriselo, 34231 City of Kragujevac, Serbia",Djuriselo,,,,34231,,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kragujevac," Šumarice",44.0294986,20.8532303,"Насеље Шумарице, City of Kragujevac, Central Serbia, Serbia",Насеље Шумарице,,,Насеље Шумарице,34113,Kragujevac,City of Kragujevac,Sumadija Administrative District,Central Serbia,Serbia,rs,,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kraljevo," Adrani",43.7573076,20.6556342,"Adrani, 36000 Kraljevo City, Serbia",Adrani,,,,36000,,Kraljevo City,Raska Administrative District,Central Serbia,Serbia,rs,,0.475,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kraljevo," Braće Pirić; Branislava Rumenica 128a",43.57749,21.70033,"Kraljevo, Nisava, Serbia",,,,,,Aleksinac,Kraljevo,Nisava,Central Serbia,Serbia,rs,,0,1,,,https://www.whosonfirst.org/docs/licenses/
